4D 5A, MZ, DOS Executable
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
89 50 4E 47 0D 0A 1A 0A, .PNG...., PNG Image
42 4D, BM, BMP Image
47 49 46 38 37 61, GIF87a, GIF Image
47 49 46 38 39 61, GIF89a, GIF Image
4D 5A, MZ, DOS Executable
FE ED FA CE, FEEDFACE, Mach-O Executable (32 bit)
FE ED FA CF, FEEDFACF, Mach-O Executable (64 bit)
7F 45 4C 46, .ELF, ELF Executable
50 4B 03 04, PK.., Zip Archive
52 61 72 21 1A 07 01 00, Rar!...., Rar Archive
4F 67 67 53, OggS, Ogg Container
45 1A A3 DF, N/A, Matroska/EBML Container
